"Sample"	"3prime_overlapping_ncRNA"	"antisense"	"antisense;bidirectional_promoter_lncRNA"	"antisense;lincRNA"	"antisense;processed_transcript"	"antisense;sense_intronic"	"antisense;sense_overlapping"	"bidirectional_promoter_lncRNA"	"bidirectional_promoter_lncRNA;lincRNA"	"bidirectional_promoter_lncRNA;processed_transcript"	"IG_C_gene"	"IG_C_pseudogene"	"IG_D_gene"	"IG_J_gene"	"IG_J_gene;antisense"	"IG_J_gene;lincRNA"	"IG_LV_gene"	"IG_pseudogene"	"IG_V_gene"	"IG_V_pseudogene"	"lincRNA"	"lincRNA;processed_transcript"	"lincRNA;processed_transcript;sense_intronic"	"lincRNA;sense_intronic"	"lincRNA;sense_overlapping"	"macro_lncRNA"	"mapped_reads"	"miRNA"	"misc_RNA"	"Mt_rRNA"	"Mt_tRNA"	"piRNA"	"polymorphic_pseudogene"	"processed_pseudogene"	"processed_transcript"	"processed_transcript;sense_intronic"	"processed_transcript;sense_overlapping"	"protein_coding"	"pseudogene"	"ribozyme"	"rRNA"	"scaRNA"	"scRNA"	"sense_intronic"	"sense_overlapping"	"snoRNA"	"snRNA"	"sRNA"	"TEC"	"total assigned reads"	"TR_C_gene"	"TR_J_gene"	"TR_J_pseudogene"	"TR_V_gene"	"TR_V_gene;antisense"	"TR_V_gene;lincRNA"	"TR_V_pseudogene"	"TR_V_pseudogene;antisense"	"TR_V_pseudogene;sense_overlapping"	"transcribed_processed_pseudogene"	"transcribed_unitary_pseudogene"	"transcribed_unprocessed_pseudogene"	"translated_unprocessed_pseudogene"	"tRNA"	"unassigned"	"unitary_pseudogene"	"unprocessed_pseudogene"	"valid_reads"
"BA26_CA1_hy_42_1"	0	4395	2	119	11	0	0	324	3	0	25	1	0	0	0	0	0	0	3	0	119226	379	2	4	3	0	18874233	7407670	150298	201803	43590	908498	46	1457	151526	0	4	2033828	960	13126	473210	83427	0	0	50	6608416	123554	2	1152	18405937	4	0	0	1	0	0	0	0	0	215	99	281	1	75071	468296	2173	978	27393985
"BA26_CA1_hy_43_1"	0	6379	3	125	20	0	0	387	7	0	10	0	0	0	0	0	0	0	2	2	159823	244	0	3	0	0	26094711	10714919	256998	202308	80736	951380	39	2204	233280	0	0	2794815	1525	9879	635665	98617	0	3	42	8909891	152868	3	2264	25321490	1	0	0	2	1	0	0	0	0	171	87	296	3	103335	773221	2088	1065	35157561
"BA26_CA1_hy_44_1"	1	7166	0	162	35	0	2	513	12	0	17	0	0	0	0	0	0	0	1	1	170733	309	8	3	0	1	25780922	8712761	219290	196406	90332	1521011	54	7829	248766	0	0	3507960	2731	6734	762745	72993	0	0	74	8099019	152367	1	5860	23911821	2	1	0	38	0	0	0	0	0	292	126	428	2	122190	1869101	1548	1297	33197460
"BA26_CA1_hy_45_1"	0	6289	0	156	23	0	3	341	5	0	14	0	0	0	0	0	0	0	2	1	165600	265	5	8	2	0	24464341	7302136	286773	189190	103111	927400	36	3257	264263	0	3	2880560	1625	5938	609741	85035	0	0	46	10355095	173833	1	2745	23462289	0	0	0	2	0	0	0	0	0	223	78	239	2	95229	1002052	1944	1070	30530073
"BA26_CA1_hy_46_1"	0	2408	0	72	12	1	0	189	2	0	8	0	0	0	0	0	0	0	0	1	40929	136	3	3	4	0	8713710	3610973	139947	113578	32340	545439	32	1857	77011	0	0	945965	734	2576	420229	14683	0	1	26	2048519	110448	0	2213	8155661	1	0	0	10	0	0	0	0	0	119	51	189	1	43882	558049	565	504	15244026
"BA27_CA1_hi_20_1"	0	5133	2	103	32	0	3	378	6	0	41	0	0	0	0	0	0	0	2	0	112697	135	0	3	7	0	27354539	16879741	139483	288858	52515	928125	30	1090	43246	0	2	2365464	761	10728	895658	92435	0	1	38	4978088	108441	0	933	27037558	1	0	0	3	0	0	0	0	0	208	108	335	2	129572	316981	2031	1119	36172007
"BA27_CA1_hi_21_1"	0	3316	0	79	23	0	0	212	5	1	41	0	0	0	0	0	0	0	4	0	48302	147	0	1	3	0	20477872	15546868	56400	241321	10326	698018	50	1538	12059	0	0	1100707	762	2115	517734	24563	0	0	45	1532180	13821	0	3132	19855160	1	0	0	1	0	0	0	0	0	213	136	320	0	37534	622712	2430	752	23451362
"BA27_CA1_hi_22_1"	0	3489	0	85	23	0	1	285	7	0	38	0	0	0	0	0	0	0	4	0	46029	147	0	0	4	0	21016234	15162350	85679	311567	14548	690992	29	1128	16501	0	0	1392479	528	3987	651243	41538	0	0	50	2136614	22183	0	1636	20633630	0	0	0	2	0	0	0	0	0	168	165	312	1	45948	382604	3131	739	24353766
"BA27_CA1_hi_23_1"	0	4372	3	86	15	1	0	313	3	4	16	0	0	0	0	0	0	0	6	2	128819	103	3	5	3	0	24555083	13366741	182599	315588	63001	674457	40	1103	69554	0	3	1831119	837	11592	604281	103980	0	0	48	6631588	121619	7	876	24224264	1	0	0	1	0	0	0	0	0	184	100	291	1	107228	330819	2656	1015	30251836
"BA27_CA1_hi_24_1"	0	7132	6	130	39	0	0	470	40	0	11	0	1	0	0	0	1	0	3	0	205661	587	2	2	8	1	30171304	8758442	218100	313018	75012	1909430	50	14518	60380	0	3	4858037	3500	11086	4046168	114873	0	0	81	6470996	126254	5	7230	27298288	2	0	0	1	0	0	0	0	0	778	132	613	10	90053	2873016	3306	2116	39244996
"BA27_CA1_hi_25_1"	0	6689	2	147	23	0	0	478	6	0	18	0	0	0	0	0	0	0	3	2	151256	162	5	2	6	0	25043555	10130492	198702	229959	114423	814308	41	1933	86800	0	0	3244150	1085	5771	560279	103854	0	0	44	8602121	177097	3	1145	24555323	0	0	0	10	0	0	0	0	0	223	75	305	0	120700	488232	1930	1074	28506387
"BA27_CA1_hi_26_1"	0	6058	3	153	49	0	1	470	15	0	14	0	0	0	0	0	0	0	3	1	177037	183	0	6	6	0	28851250	11699497	200730	290601	118716	1382071	48	8304	104386	0	2	3892185	2296	6206	839252	84690	0	0	85	7659056	179169	3	6282	26768308	0	0	0	1	0	0	0	0	0	297	97	507	8	106394	2082942	2163	1263	35308523
"BA27_CA1_hi_27_1"	0	5122	0	147	18	0	0	351	12	0	18	0	0	0	0	0	0	0	3	1	153409	128	3	4	10	0	24327950	13607585	158548	240896	76079	648071	46	2652	46332	0	1	2567561	1193	6045	518560	88111	0	0	36	5207675	70087	0	2527	23499700	2	0	0	3	0	0	0	0	0	208	80	380	1	94516	828250	2056	1223	29285843
"BA27_CA1_hy_47_1"	0	4785	3	93	23	0	1	299	4	1	6	0	0	0	0	0	0	0	1	0	97105	351	3	3	3	0	19780127	9132297	129135	152378	30201	939406	29	2420	95956	0	1	2155248	1328	5622	846205	65621	0	1	57	5102738	62694	3	2928	18897325	1	0	0	28	0	0	0	0	0	166	82	296	3	67693	882802	1404	703	26012614
"BA27_CA1_hy_48_1"	0	4071	0	88	47	0	1	280	4	1	9	0	0	0	0	0	0	0	1	2	34119	486	11	1	0	0	14214944	7896936	92069	147632	6759	813168	32	1549	28144	0	5	1635829	742	2235	809023	30146	0	0	96	2072421	12931	0	1782	13662210	0	0	0	19	0	0	0	0	0	215	219	349	0	68278	552734	1817	693	18377869
"BA27_CA1_hy_49_1"	0	3670	0	59	12	0	0	247	3	0	2	0	0	0	0	0	0	0	0	3	35615	355	7	0	2	0	15202580	8903981	124908	167974	8223	653573	27	652	41363	0	0	1679629	391	2907	704120	42859	0	0	36	2410301	14183	1	842	14843846	1	0	0	3	0	0	0	0	0	151	124	222	0	44922	358734	1931	547	20077031
"BA27_CA1_hy_50_1"	0	3306	1	77	22	0	2	224	5	1	8	0	0	0	0	0	0	0	1	0	99366	208	9	8	0	0	14896735	5522363	171456	187093	41472	525606	35	1251	129276	0	0	1547915	747	10002	437877	63775	0	1	22	5616759	79522	1	1296	14497602	1	0	0	1	0	0	0	0	0	143	50	221	2	54707	399133	2059	711	22701038
"BA27_CA1_hy_51_1"	0	4067	0	93	25	0	0	250	7	0	12	0	0	0	0	0	0	0	1	1	86940	177	2	6	1	0	15345097	6267964	152271	137731	52008	619913	32	1925	105644	0	1	1657721	989	4724	558722	55080	0	0	32	4993978	69276	2	1510	14843048	1	0	0	13	0	0	0	0	0	181	65	279	2	69427	502049	1295	680	21251687
"BA27_CA1_hy_52_1"	0	5450	1	118	25	0	3	382	4	0	7	0	0	0	0	0	0	0	3	0	81859	278	3	5	4	0	19727994	6931250	178047	121422	49932	856034	43	3079	142936	0	2	2572408	1434	4644	556703	75885	0	0	51	7262322	110718	1	1627	19072171	0	0	0	38	0	0	0	0	0	201	91	327	2	112985	655823	967	880	26014441
"BA27_CA1_hy_53_1"	0	3938	0	100	8	0	0	234	1	1	8	0	0	0	0	0	0	0	1	0	101572	202	3	0	0	0	17284851	5170478	236212	157290	97413	441811	32	1024	205287	0	0	1707291	716	3751	419929	57295	0	0	26	8129216	119722	0	894	16923174	0	1	0	3	0	0	0	0	0	130	51	193	3	66472	361677	1234	632	23762633
"BA27_CA1_hy_54_1"	0	5271	4	91	16	0	0	294	6	2	7	0	0	0	0	0	0	0	1	2	88398	285	7	17	11	0	18231426	6361427	173664	156768	43257	725182	70	2847	130828	0	0	2153039	1427	4156	772696	65835	0	3	43	6588935	65506	0	2438	17416068	1	0	0	22	0	0	0	0	0	202	71	291	2	70758	815358	1313	875	24405201
"BA28_CA1_hi_1_1"	0	6835	1	158	34	0	0	537	22	2	20	0	0	0	0	0	0	0	7	1	169489	183	3	7	8	0	30378791	15461600	226689	295649	160300	1000202	42	2518	123685	0	2	2902277	1538	8104	592017	106066	0	1	60	8254968	191163	1	1922	29696949	2	0	0	14	0	0	0	0	0	269	112	426	4	186170	681842	2442	1399	37215252
"BA28_CA1_hi_28_1"	0	6808	0	131	33	0	2	365	14	0	29	0	0	0	0	0	0	0	2	1	96365	185	16	1	5	0	23085026	10036363	299955	284491	135428	926801	61	1975	158172	0	3	2543448	1246	6167	675289	61329	0	0	57	7029536	131509	0	1654	22569948	4	0	0	2	0	0	0	0	0	215	87	340	0	167675	515078	2848	1336	31439529
"BA28_CA1_hi_29_1"	0	3592	0	80	18	0	0	270	7	1	54	0	0	0	0	0	0	0	0	2	94620	108	2	1	5	0	19471264	12285983	110278	193543	51467	614729	30	696	41322	0	0	1388988	557	7965	443872	64780	0	0	28	3746217	102204	7	670	19247128	3	0	0	0	0	0	0	0	0	173	81	265	2	92059	224136	1662	787	23897484
"BA28_CA1_hi_30_1"	0	2666	0	53	15	0	0	170	6	0	58	0	0	0	0	0	0	0	2	0	38770	80	0	1	0	0	15304796	11428370	60810	179421	11228	492053	37	619	14060	0	0	889054	305	2605	398960	27876	0	0	19	1437909	13753	1	962	15035988	0	0	0	0	0	0	0	0	0	122	126	211	0	33243	268808	1839	584	17445217
"BA28_CA1_hi_31_1"	0	4101	0	61	19	1	1	315	21	1	29	0	0	0	0	0	0	0	3	0	60300	134	5	5	8	0	20343866	13979663	106908	267246	26121	698828	45	1131	20260	0	2	1367214	545	6730	598860	56810	0	0	40	2673334	37349	0	1234	20002638	1	2	0	2	1	0	0	0	0	224	158	259	0	91328	341228	2546	793	24214324
"BA28_CA1_hi_32_1"	0	4401	0	89	12	1	2	259	10	1	24	0	0	0	0	0	0	0	0	5	116679	115	0	1	5	0	19953731	10884193	134948	226786	66306	781756	40	2377	62344	0	2	1644905	1096	8996	408467	69767	0	1	36	4669174	114887	3	2138	19300875	2	0	0	2	0	0	0	0	0	151	126	260	3	97585	652856	1984	936	25917158
"BA28_CA1_hi_33_1"	0	4900	1	103	25	0	0	358	13	2	22	0	0	0	0	0	0	0	0	0	129569	133	3	5	4	1	23939033	11259015	214055	235862	123470	913495	50	1715	84626	0	2	2369028	1237	7979	686887	100301	0	0	44	6922385	206661	1	1702	23394999	3	0	0	3	0	0	0	0	0	221	45	359	1	127633	544034	1949	1131	29533432
"BA28_CA1_hi_34_1"	0	3283	1	41	17	0	0	195	5	2	2	0	0	0	0	0	0	0	1	0	40521	58	2	1	1	0	8368992	2946896	47372	38937	30481	444400	17	1884	25956	0	4	1782899	891	1159	197597	28848	0	0	20	2336230	40731	2	887	8027282	0	0	0	31	0	0	0	0	0	104	36	131	2	56987	341710	312	338	9869825
"BA28_CA1_hi_35_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	3796	2244	25	39	15	145	0	2	11	0	0	315	2	0	93	7	0	0	0	741	13	0	0	3684	0	0	0	0	0	0	0	0	0	0	0	0	0	16	112	0	0	4691
"BA28_CA1_hy_2_1"	0	5765	0	111	19	1	4	342	12	0	3	0	0	0	0	0	0	0	1	0	162372	228	3	3	1	0	22269242	6004510	314131	171876	103905	1047103	32	4817	205035	0	0	3044506	2039	4939	619103	71691	0	0	50	8845165	141425	1	3744	20872499	4	0	0	5	1	0	0	0	0	235	67	301	3	116326	1396743	1789	831	28489983
"BA28_CA1_hy_55_1"	0	7520	4	122	35	0	3	382	7	1	40	1	0	0	0	0	0	0	3	1	138478	218	7	5	0	0	29575455	14974407	283689	270787	77139	1136758	68	1328	179707	0	0	2547413	1166	12244	798393	100567	0	0	50	8260387	125615	1	1434	29068459	1	0	0	1	0	0	1	0	0	226	150	399	3	146144	506996	2235	1319	38494271
"BA28_CA1_hy_56_1"	0	6057	0	123	34	0	0	366	9	0	28	0	0	0	0	0	0	0	0	2	56740	461	24	5	5	0	23510303	14949117	167518	260044	13653	1218889	108	2377	40885	0	0	2045294	947	4337	1248972	31969	0	0	73	2539787	16571	1	2593	22688858	0	0	0	9	0	0	0	0	0	286	397	448	5	76873	821445	2818	1033	28241328
"BA28_CA1_hy_57_1"	0	6192	1	139	63	0	0	596	8	1	8	0	0	0	0	0	0	0	8	0	72609	657	4	8	1	0	25174128	15511454	214725	349766	20648	1186210	65	1519	67991	0	7	2113801	673	7500	999128	68372	0	0	72	3806621	35139	7	1634	24579455	2	0	0	8	0	0	0	0	0	311	196	458	1	107507	594673	4282	1063	31192059
"BA28_CA1_hy_58_1"	0	7093	0	128	33	0	1	486	13	2	22	0	0	0	0	0	0	0	8	0	212268	538	5	9	2	1	27059957	9260059	298861	229441	75311	1500706	82	6939	188206	0	2	3395573	2506	14082	872392	119629	0	0	73	8886653	159306	3	6098	25359602	0	0	0	0	0	0	0	0	0	302	116	448	8	118655	1700355	2374	1168	36933931
"BA28_CA1_hy_59_1"	0	7475	2	180	37	0	1	461	10	1	10	0	0	0	0	0	0	0	6	0	165539	269	6	6	5	0	29297445	12997987	402279	305244	131634	1221991	76	2145	201644	0	7	2771979	1659	10962	795429	94253	0	0	63	9046783	188637	1	1805	28572145	4	0	0	5	0	0	0	0	0	201	128	423	1	218249	725300	3192	1356	38692131
"BA28_CA1_mid_24_1"	0	3580	0	92	18	0	0	277	5	0	52	0	0	0	0	0	0	0	0	0	93551	150	2	3	2	0	17812726	10129581	120884	151718	64329	801001	25	1567	33295	0	2	1587426	862	4026	441482	55695	0	0	24	3712213	66863	1	1232	17358799	1	0	0	2	1	0	0	0	0	176	61	233	0	85556	453927	1544	1267	22202310
"BA29_CA1_hi_36_1"	1	4039	1	83	8	0	0	220	10	0	46	2	0	0	0	0	0	0	0	0	90878	90	1	0	3	0	21141810	13763643	106277	224518	56800	709129	32	860	41975	0	0	1390973	643	8796	379628	66001	0	0	42	3782032	121800	0	912	20844780	2	0	0	2	0	0	0	0	0	153	62	257	1	91998	297030	2032	830	26350473
"BA29_CA1_hi_37_1"	0	3932	1	82	38	0	0	260	10	0	52	0	0	0	0	0	0	0	0	1	48102	142	0	5	6	0	20466583	14717681	82288	212627	14995	691128	30	860	16398	0	0	1343483	424	3744	552066	46405	0	0	49	2307330	22670	0	1162	20121282	2	0	0	3	0	0	0	0	0	181	219	230	2	51730	345301	2186	758	23498620
"BA29_CA1_hi_38_1"	0	3030	0	66	19	0	0	209	10	0	9	0	0	0	0	0	0	0	0	1	45901	110	1	1	1	0	16759866	11653030	77550	201965	19845	545540	26	676	20220	0	0	1201885	350	4461	459312	51126	0	0	27	2120947	29769	3	745	16494886	0	0	0	3	0	0	0	0	0	127	88	184	1	54886	264980	2188	574	20427956
"BA29_CA1_hi_39_1"	0	4506	0	89	12	2	3	250	25	0	13	0	0	0	0	0	0	0	0	0	155337	223	2	5	6	0	19382065	7498718	155012	230544	78089	998313	34	6552	71889	0	1	2268972	1578	10274	1392973	75097	0	1	40	4932117	150627	2	3628	18141711	2	0	0	0	0	0	0	0	0	313	94	331	1	102332	1240354	2237	1467	25778705
"BA29_CA1_hi_40_1"	0	4152	0	105	16	0	0	233	11	0	9	0	0	0	0	0	0	0	1	0	134979	91	1	3	5	0	19184539	9648657	125824	164084	81200	727682	16	2955	68233	0	1	1801980	1171	6288	379751	64774	0	0	36	4906772	117917	3	2837	18339585	2	0	0	2	0	0	0	0	0	150	67	244	2	97139	844954	1290	902	24674286
"BA29_CA1_hi_41_1"	0	5190	1	137	21	0	0	298	9	0	14	0	0	0	0	0	0	0	2	0	128510	125	0	1	7	0	23446148	10877781	214251	232791	134502	772665	42	1825	117598	0	0	2392807	1122	6469	566302	85029	0	0	39	7066856	167269	0	1307	22916209	1	0	0	3	0	0	0	0	0	169	55	247	1	139882	529939	1675	1206	29352845
"BA29_CA1_hi_42_1"	0	4131	3	156	17	1	0	371	12	0	11	1	0	0	0	0	0	0	5	2	113808	158	6	10	3	0	17193358	7274087	152121	161940	128298	450817	31	1731	82075	0	1	1517979	1005	4661	315168	55789	0	0	48	6237052	101535	0	1120	16711375	1	0	0	2	0	0	0	0	0	217	72	225	0	104285	481983	1174	1246	21185143
"BA29_CA1_hi_43_1"	0	4804	1	86	18	0	2	288	4	1	32	0	0	0	0	0	0	0	1	0	99139	110	2	1	7	1	19734765	10126593	160008	154184	72576	692817	33	2079	68273	0	2	2056310	1077	4744	442129	69048	0	0	36	4877984	107544	0	2245	19040783	2	0	0	5	0	0	0	0	0	196	64	262	3	95744	693982	1360	968	25708097
"BA29_CA1_hi2_4_1"	0	5345	1	135	18	0	0	320	14	1	98	0	0	0	0	0	0	0	1	0	137909	142	5	6	6	0	20433094	9076872	144256	169279	123024	1372340	36	3841	99479	0	3	2211131	1534	7188	512002	79676	0	0	42	5227725	115788	3	3398	19430956	0	0	0	2	0	0	1	0	0	222	110	278	1	136033	1002138	1448	1243	27421505
"BA29_CA1_plx_1_1"	0	5431	2	89	16	0	3	275	5	0	44	0	0	0	0	0	0	0	0	0	118290	112	1	2	4	0	21717797	11426978	156741	186873	66956	1093766	48	2155	77240	0	1	2555580	1168	8125	596338	77073	0	0	53	4322625	96729	0	2615	20910799	3	0	0	1	0	0	1	0	0	152	109	254	1	111955	806998	1931	1054	30740213
"BA29_CA1_plx_2_1"	0	4816	0	80	23	0	0	261	13	0	101	0	0	0	0	0	0	0	1	1	66814	101	1	1	2	0	19617732	12101549	124414	270198	29430	1291722	42	1638	34306	0	0	1736545	781	4541	709739	46698	0	0	59	2362076	26432	1	2337	18921618	0	0	0	4	0	0	0	0	0	145	219	307	1	101938	696114	3268	1013	24440847
"BA29_CA1_plx_3_1"	0	4374	3	112	14	0	4	417	10	2	13	0	0	0	0	0	0	0	0	0	56695	160	2	2	6	0	13502478	3409585	156910	1104998	19138	1879751	186	5655	25613	0	0	1573541	448	6562	1768007	18240	0	0	49	2121500	252746	1	2120	12458012	1	0	0	1	0	1	0	0	0	257	499	665	0	35539	1044466	11594	2591	21002949
"BA29_CA1_plx_5_1"	0	5645	0	92	20	0	0	285	9	0	9	0	0	0	0	0	0	0	2	1	153032	125	6	9	1	0	21490922	8329198	208112	193599	104227	1303634	37	6894	85551	0	0	3214380	2069	6010	775234	75659	0	1	38	5059771	123298	3	5881	19768485	0	0	0	1	0	0	0	0	0	226	76	317	0	112297	1722437	1790	946	30000379
"BA29_CA1_plx_6_1"	0	3629	0	39	16	0	1	146	3	0	54	0	0	0	0	0	0	0	1	0	32566	64	3	2	0	0	8144030	2543938	91888	42984	49220	650505	9	1752	31589	0	1	1892769	903	1695	243439	24586	0	0	18	1995980	73048	2	818	7779072	2	0	0	15	0	0	0	0	0	106	26	150	0	96310	364958	367	428	10334127
"BA29_CA1_plx_7_1"	1	4217	0	113	16	0	0	291	15	0	32	0	0	0	0	0	0	0	1	0	97026	118	1	1	3	0	22173467	9893383	316683	222008	200918	893494	26	1374	165510	0	0	2147647	1152	5452	537843	62173	0	0	18	6679630	244453	2	1242	21650015	1	0	0	1	0	0	0	0	0	156	63	262	3	171681	523452	1877	1128	28450129
"BA29_CA1_plx_8_1"	0	5070	0	95	17	0	0	269	6	0	142	1	0	0	0	0	0	0	2	0	105857	211	3	4	3	0	18892558	8172039	232179	152204	138353	1414514	35	4370	66785	0	0	2594629	1609	4510	567024	49896	0	1	37	4001687	121242	4	3795	17785893	4	0	0	10	0	0	0	0	0	234	70	304	1	145078	1106665	1712	1887	25312548
"BA3_CA1_olf_33_1"	0	3093	1	71	32	0	0	376	9	1	68	0	0	0	0	0	0	0	0	0	55189	127	1	0	1	0	23695894	18964290	62435	105979	24750	509551	27	662	35067	0	1	809590	557	3236	263727	45821	0	0	41	2461237	51224	6	729	23480534	0	1	0	6	0	0	0	0	0	164	94	259	0	80683	215360	762	666	26876518
"BA3_CA1_olf_34_1"	0	2784	2	66	24	0	0	310	3	0	88	0	0	0	0	0	0	0	1	0	34465	111	0	1	0	0	20644142	16414649	49329	80243	18189	488906	24	651	20554	0	0	982456	553	3068	255726	46209	0	0	33	1923802	45664	3	572	20449237	0	0	0	4	0	0	0	0	0	127	151	235	1	79057	194905	605	571	23633195
"BA3_CA1_olf_35_1"	0	2860	3	74	24	0	1	331	4	0	15	0	0	0	0	0	0	0	1	0	42478	124	3	0	1	0	21273820	16816058	55287	124203	20500	488815	40	561	26995	0	0	997630	564	3061	234438	52143	0	1	23	2036791	59649	6	674	21042797	2	0	0	4	0	0	1	0	0	135	76	269	1	77135	231023	1206	610	24433887
"BA3_CA1_olf_36_1"	0	2250	0	60	19	2	0	222	3	1	34	0	0	0	0	0	0	0	0	1	72563	72	3	2	0	0	17571254	12210620	83426	155402	26092	351414	31	390	33754	0	1	972976	509	7272	268933	70625	0	0	20	2979751	63834	1	526	17367565	0	0	0	1	0	0	0	0	0	99	54	162	0	64261	203689	1561	618	23115597
"BA3_CA1_olf_37_1"	0	3929	4	79	38	0	0	535	12	1	58	0	0	0	0	0	0	0	1	0	97216	136	3	1	2	0	32041395	25226262	89667	164115	34704	556967	31	668	50989	0	0	1138570	702	6613	346564	73684	0	1	40	3777977	76810	5	916	31752503	0	0	0	2	0	0	0	0	0	178	118	324	0	102402	288892	1316	863	37527392
"BA3_CA1_olf_38_1"	0	5287	6	117	50	0	0	555	11	0	109	0	0	0	0	0	0	0	1	1	68091	168	3	0	1	0	37882904	29674518	94294	153318	35512	999157	49	1263	48686	0	2	1930123	1007	6798	506331	104356	0	1	51	3641719	83088	16	1111	37511672	0	0	0	4	0	0	0	0	0	277	193	506	0	152766	371232	1082	1044	43853538
"BA3_CA1_olf_39_1"	0	3742	2	76	41	0	0	330	2	2	56	0	0	0	0	0	0	0	3	0	104359	146	2	1	1	0	27002968	19359681	100994	210370	39658	717733	46	1204	46166	0	1	1291275	665	7128	369382	78319	0	0	35	4119313	81860	4	1018	26644686	0	0	0	3	0	0	0	0	0	178	105	304	1	107456	358282	1931	1093	30951753
"BA3_CA1_olf_40_1"	0	3197	1	60	21	0	0	241	4	1	83	0	0	0	0	0	0	0	2	0	59019	75	5	0	0	0	24418484	18682425	90049	150495	30718	521010	28	613	42283	0	0	1017332	493	5426	312433	63851	0	0	35	3071203	56250	8	637	24201195	1	1	0	0	0	0	0	0	0	109	70	284	0	90725	217289	1131	876	28968916
"BA3_CA1_olf_41_1"	0	3458	2	81	17	0	1	357	7	1	47	0	0	0	0	0	0	0	4	0	76577	126	7	0	0	0	27088454	20756693	105367	176129	27685	521639	39	697	41780	1	1	1227334	558	5903	402054	66399	0	2	38	3254595	65778	7	820	26823678	0	0	0	2	0	0	1	0	0	138	115	301	0	86843	264776	1286	788	31077823
"BA3_CA1_olf_42_1"	0	2285	1	68	17	0	1	225	1	0	90	0	0	0	0	0	0	0	0	0	46741	71	2	1	2	0	16378201	12493072	55767	119177	20838	386010	33	442	25303	0	1	713451	336	3212	216070	36821	0	0	26	1977713	41690	2	515	16204182	0	0	0	3	0	0	0	0	0	131	68	243	1	62331	174019	841	580	18699414
"BA3_CA1_olf_43_1"	0	1301	0	26	16	0	1	134	3	1	47	0	0	0	0	0	0	0	1	1	20961	42	0	0	0	1	9281187	7106875	33997	64174	11952	256658	10	287	12832	0	0	380570	224	2040	127062	21267	0	0	14	1082352	23104	1	289	9187137	0	0	0	0	0	0	0	0	0	59	48	120	0	39871	94050	436	360	10624184
"BA3_CA1_olf_44_1"	0	3725	3	73	28	0	0	410	7	3	17	0	0	0	0	0	0	0	1	0	60956	128	0	0	0	0	27436961	21743924	87577	157701	28071	523762	39	562	40973	0	0	1022016	512	5006	322160	62578	0	2	36	2972859	53815	11	730	27180664	0	0	0	0	0	0	0	0	0	142	182	330	1	90529	256297	1022	773	31184280
"BA3_CA1_olf_45_1"	0	3727	0	95	23	0	1	397	8	1	67	0	0	0	0	0	0	0	1	0	95958	124	3	0	0	0	29726510	21850446	129861	204028	38286	638117	53	849	52829	0	0	1414825	786	8429	433171	92095	0	0	42	4225649	81408	7	1039	29385378	1	0	0	2	0	0	0	0	0	171	135	358	2	109979	341132	1485	920	34480095
"BA3_CA1_olf_46_1"	0	3237	1	74	21	0	1	375	3	1	38	0	0	0	0	0	0	0	2	1	58738	100	1	1	1	0	19522670	13806091	74703	153439	25268	714189	28	933	27677	0	0	1254236	587	5058	293360	55617	0	1	21	2658413	63225	5	710	19280406	0	0	0	3	0	0	0	0	0	154	50	273	0	81759	242264	1235	776	22278798
"BA3_CA1_olf_47_1"	0	4194	2	83	28	0	0	427	6	0	147	0	0	0	0	0	0	0	1	0	77218	145	1	3	1	0	33611921	26139368	129992	214590	39149	622762	50	1064	50651	0	0	1398419	672	7404	430043	86311	0	0	55	3919841	66004	9	930	33307609	1	0	0	0	0	0	0	0	0	176	97	360	1	114906	304312	1422	1076	38676786
"BA3_CA1_olf_48_1"	0	3717	0	76	30	0	0	405	1	0	111	0	0	0	0	0	0	0	2	0	63627	95	3	0	0	0	26636701	21002165	85663	149799	25911	622600	43	879	29577	0	0	1140602	625	4669	299030	62928	0	0	35	2718627	43042	9	1050	26354006	1	0	0	0	0	0	0	0	0	148	68	294	1	96421	282695	950	802	29899774
"BA30_CA1_hi_44_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	5892	4107	28	71	4	198	0	0	5	0	0	343	0	1	147	19	0	0	0	800	18	0	0	5781	0	0	0	0	0	0	0	0	0	0	0	0	0	16	111	0	0	7395
"BA30_CA1_hi_45_1"	0	3663	0	68	20	0	0	275	7	0	53	0	0	0	0	0	0	0	0	1	31054	113	0	1	2	0	16798327	12002207	61324	147636	10307	792644	34	981	12715	0	7	1176253	446	2703	514318	37870	0	0	48	1614316	16840	4	1056	16494487	6	0	0	14	0	0	0	0	0	126	269	225	1	65137	303840	1112	631	20662384
"BA30_CA1_hi_46_1"	0	3420	4	43	21	0	1	232	6	1	17	0	0	0	0	0	0	0	0	0	51649	80	5	0	3	0	17213595	10464534	105793	190980	19804	679304	29	660	26770	0	0	1737110	547	5911	598490	83592	0	1	24	2877337	34466	4	806	16943003	0	0	0	12	0	0	0	0	0	120	59	180	0	58776	270592	1620	592	24182168
