V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	mouse_ID	fastq_name	plate	brain_region_long	age	sex	brain_region_sex
152	BA10	CA1_cp_33	16	CA1_cp_33	BulkSeq_cp_33	CA1	CA1_cp_33	cp	33	BA10_CA1_cp_33_1	P24	Caudate putamen	3	Male	cp_Male
153	BA10	CA1_cp_35	25	CA1_cp_35	BulkSeq_cp_35	CA1	CA1_cp_35	cp	35	BA10_CA1_cp_35_1	P24	Caudate putamen	18	Male	cp_Male
154	BA10	CA1_cp_36	26	CA1_cp_36	BulkSeq_cp_36	CA1	CA1_cp_36	cp	36	BA10_CA1_cp_36_1	P24	Caudate putamen	21	Male	cp_Male
155	BA10	CA1_cp_37	27	CA1_cp_37	BulkSeq_cp_37	CA1	CA1_cp_37	cp	37	BA10_CA1_cp_37_1	P24	Caudate putamen	3	Female	cp_Female
156	BA10	CA1_cp_38	28	CA1_cp_38	BulkSeq_cp_38	CA1	CA1_cp_38	cp	38	BA10_CA1_cp_38_1	P24	Caudate putamen	15	Female	cp_Female
157	BA10	CA1_cp_39	29	CA1_cp_39	BulkSeq_cp_39	CA1	CA1_cp_39	cp	39	BA10_CA1_cp_39_1	P24	Caudate putamen	18	Female	cp_Female
158	BA10	CA1_cp_40	30	CA1_cp_40	BulkSeq_cp_40	CA1	CA1_cp_40	cp	40	BA10_CA1_cp_40_1	P24	Caudate putamen	21	Female	cp_Female
159	BA10	CA1_cp_41	31	CA1_cp_41	BulkSeq_cp_41	CA1	CA1_cp_41	cp	41	BA10_CA1_cp_41_1	P24	Caudate putamen	3	Female	cp_Female
160	BA10	CA1_cp_42	32	CA1_cp_42	BulkSeq_cp_42	CA1	CA1_cp_42	cp	42	BA10_CA1_cp_42_1	P24	Caudate putamen	15	Female	cp_Female
161	BA11	CA1_cp_43	1	CA1_cp_43	BulkSeq_cp_43	CA1	CA1_cp_43	cp	43	BA11_CA1_cp_43_1	P24	Caudate putamen	18	Female	cp_Female
162	BA11	CA1_cp_44	2	CA1_cp_44	BulkSeq_cp_44	CA1	CA1_cp_44	cp	44	BA11_CA1_cp_44_1	P24	Caudate putamen	21	Female	cp_Female
163	BA11	CA1_cp_45	3	CA1_cp_45	BulkSeq_cp_45	CA1	CA1_cp_45	cp	45	BA11_CA1_cp_45_1	P24	Caudate putamen	3	Female	cp_Female
164	BA11	CA1_cp_46	4	CA1_cp_46	BulkSeq_cp_46	CA1	CA1_cp_46	cp	46	BA11_CA1_cp_46_1	P24	Caudate putamen	15	Female	cp_Female
165	BA11	CA1_cp_47	13	CA1_cp_47	BulkSeq_cp_47	CA1	CA1_cp_47	cp	47	BA11_CA1_cp_47_1	P24	Caudate putamen	18	Female	cp_Female
166	BA11	CA1_cp_48	14	CA1_cp_48	BulkSeq_cp_48	CA1	CA1_cp_48	cp	48	BA11_CA1_cp_48_1	P24	Caudate putamen	21	Female	cp_Female
167	BA11	CA1_cp_49	15	CA1_cp_49	BulkSeq_cp_49	CA1	CA1_cp_49	cp	49	BA11_CA1_cp_49_1	P24	Caudate putamen	3	Female	cp_Female
168	BA11	CA1_cp_50	16	CA1_cp_50	BulkSeq_cp_50	CA1	CA1_cp_50	cp	50	BA11_CA1_cp_50_1	P24	Caudate putamen	15	Female	cp_Female
169	BA11	CA1_cp_51	25	CA1_cp_51	BulkSeq_cp_51	CA1	CA1_cp_51	cp	51	BA11_CA1_cp_51_1	P24	Caudate putamen	18	Female	cp_Female
170	BA11	CA1_cp_52	26	CA1_cp_52	BulkSeq_cp_52	CA1	CA1_cp_52	cp	52	BA11_CA1_cp_52_1	P24	Caudate putamen	21	Female	cp_Female
171	BA11	CA1_cp_53	27	CA1_cp_53	BulkSeq_cp_53	CA1	CA1_cp_53	cp	53	BA11_CA1_cp_53_1	P24	Caudate putamen	3	Female	cp_Female
172	BA11	CA1_cp_54	28	CA1_cp_54	BulkSeq_cp_54	CA1	CA1_cp_54	cp	54	BA11_CA1_cp_54_1	P24	Caudate putamen	15	Female	cp_Female
173	BA11	CA1_cp_55	29	CA1_cp_55	BulkSeq_cp_55	CA1	CA1_cp_55	cp	55	BA11_CA1_cp_55_1	P24	Caudate putamen	18	Female	cp_Female
174	BA11	CA1_cp_56	30	CA1_cp_56	BulkSeq_cp_56	CA1	CA1_cp_56	cp	56	BA11_CA1_cp_56_1	P24	Caudate putamen	21	Female	cp_Female
175	BA11	CA1_cp_57	31	CA1_cp_57	BulkSeq_cp_57	CA1	CA1_cp_57	cp	57	BA11_CA1_cp_57_1	P24	Caudate putamen	28	Male	cp_Male
176	BA11	CA1_cp_58	32	CA1_cp_58	BulkSeq_cp_58	CA1	CA1_cp_58	cp	58	BA11_CA1_cp_58_1	P24	Caudate putamen	28	Male	cp_Male
177	BA12	CA1_cp_59	1	CA1_cp_59	BulkSeq_cp_59	CA1	CA1_cp_59	cp	59	BA12_CA1_cp_59_1	P24	Caudate putamen	28	Male	cp_Male
178	BA12	CA1_svz_1	2	CA1_svz_1	BulkSeq_svz_1	CA1	CA1_svz_1	svz	1	BA12_CA1_svz_1_1	P24	Subventricular zone	12	Female	svz_Female
179	BA12	CA1_svz_2	3	CA1_svz_2	BulkSeq_svz_2	CA1	CA1_svz_2	svz	2	BA12_CA1_svz_2_1	P24	Subventricular zone	26	Male	svz_Male
180	BA12	CA1_svz_3	4	CA1_svz_3	BulkSeq_svz_3	CA1	CA1_svz_3	svz	3	BA12_CA1_svz_3_1	P24	Subventricular zone	12	Male	svz_Male
181	BA12	CA1_svz_4	13	CA1_svz_4	BulkSeq_svz_4	CA1	CA1_svz_4	svz	4	BA12_CA1_svz_4_1	P24	Subventricular zone	12	Female	svz_Female
182	BA12	CA1_svz_5	14	CA1_svz_5	BulkSeq_svz_5	CA1	CA1_svz_5	svz	5	BA12_CA1_svz_5_1	P24	Subventricular zone	26	Male	svz_Male
183	BA12	CA1_svz_6	15	CA1_svz_6	BulkSeq_svz_6	CA1	CA1_svz_6	svz	6	BA12_CA1_svz_6_1	P24	Subventricular zone	12	Male	svz_Male
184	BA12	CA1_svz_7	16	CA1_svz_7	BulkSeq_svz_7	CA1	CA1_svz_7	svz	7	BA12_CA1_svz_7_1	P24	Subventricular zone	12	Female	svz_Female
186	BA12	CA1_svz_9	26	CA1_svz_9	BulkSeq_svz_9	CA1	CA1_svz_9	svz	9	BA12_CA1_svz_9_1	P24	Subventricular zone	12	Male	svz_Male
187	BA12	CA1_svz_10	27	CA1_svz_10	BulkSeq_svz_10	CA1	CA1_svz_10	svz	10	BA12_CA1_svz_10_1	P24	Subventricular zone	12	Female	svz_Female
188	BA12	CA1_svz_11	28	CA1_svz_11	BulkSeq_svz_11	CA1	CA1_svz_11	svz	11	BA12_CA1_svz_11_1	P24	Subventricular zone	26	Male	svz_Male
189	BA12	CA1_svz_12	29	CA1_svz_12	BulkSeq_svz_12	CA1	CA1_svz_12	svz	12	BA12_CA1_svz_12_1	P24	Subventricular zone	12	Male	svz_Male
190	BA12	CA1_svz_13	30	CA1_svz_13	BulkSeq_svz_13	CA1	CA1_svz_13	svz	13	BA12_CA1_svz_13_1	P24	Subventricular zone	12	Female	svz_Female
191	BA12	CA1_svz_14	31	CA1_svz_14	BulkSeq_svz_14	CA1	CA1_svz_14	svz	14	BA12_CA1_svz_14_1	P24	Subventricular zone	26	Male	svz_Male
192	BA12	CA1_svz_15	32	CA1_svz_15	BulkSeq_svz_15	CA1	CA1_svz_15	svz	15	BA12_CA1_svz_15_1	P24	Subventricular zone	12	Male	svz_Male
193	BA13	CA1_svz_16	1	CA1_svz_16	BulkSeq_svz_16	CA1	CA1_svz_16	svz	16	BA13_CA1_svz_16_1	P25	Subventricular zone	21	Male	svz_Male
194	BA13	CA1_svz_17	2	CA1_svz_17	BulkSeq_svz_17	CA1	CA1_svz_17	svz	17	BA13_CA1_svz_17_1	P25	Subventricular zone	3	Male	svz_Male
195	BA13	CA1_svz_18	3	CA1_svz_18	BulkSeq_svz_18	CA1	CA1_svz_18	svz	18	BA13_CA1_svz_18_1	P25	Subventricular zone	15	Male	svz_Male
196	BA13	CA1_svz_19	4	CA1_svz_19	BulkSeq_svz_19	CA1	CA1_svz_19	svz	19	BA13_CA1_svz_19_1	P25	Subventricular zone	18	Male	svz_Male
197	BA13	CA1_svz_20	13	CA1_svz_20	BulkSeq_svz_20	CA1	CA1_svz_20	svz	20	BA13_CA1_svz_20_1	P25	Subventricular zone	21	Male	svz_Male
198	BA13	CA1_svz_21	14	CA1_svz_21	BulkSeq_svz_21	CA1	CA1_svz_21	svz	21	BA13_CA1_svz_21_1	P25	Subventricular zone	3	Male	svz_Male
199	BA13	CA1_svz_22	15	CA1_svz_22	BulkSeq_svz_22	CA1	CA1_svz_22	svz	22	BA13_CA1_svz_22_1	P25	Subventricular zone	15	Male	svz_Male
200	BA13	CA1_svz_23	16	CA1_svz_23	BulkSeq_svz_23	CA1	CA1_svz_23	svz	23	BA13_CA1_svz_23_1	P25	Subventricular zone	18	Male	svz_Male
201	BA13	CA1_svz_24	25	CA1_svz_24	BulkSeq_svz_24	CA1	CA1_svz_24	svz	24	BA13_CA1_svz_24_1	P25	Subventricular zone	21	Male	svz_Male
202	BA13	CA1_svz_25	26	CA1_svz_25	BulkSeq_svz_25	CA1	CA1_svz_25	svz	25	BA13_CA1_svz_25_1	P25	Subventricular zone	3	Male	svz_Male
203	BA13	CA1_svz_26	27	CA1_svz_26	BulkSeq_svz_26	CA1	CA1_svz_26	svz	26	BA13_CA1_svz_26_1	P25	Subventricular zone	15	Male	svz_Male
204	BA13	CA1_svz_27	28	CA1_svz_27	BulkSeq_svz_27	CA1	CA1_svz_27	svz	27	BA13_CA1_svz_27_1	P25	Subventricular zone	18	Male	svz_Male
205	BA13	CA1_svz_28	29	CA1_svz_28	BulkSeq_svz_28	CA1	CA1_svz_28	svz	28	BA13_CA1_svz_28_1	P25	Subventricular zone	21	Male	svz_Male
206	BA13	CA1_svz_29	30	CA1_svz_29	BulkSeq_svz_29	CA1	CA1_svz_29	svz	29	BA13_CA1_svz_29_1	P25	Subventricular zone	3	Male	svz_Male
207	BA13	CA1_svz_30	31	CA1_svz_30	BulkSeq_svz_30	CA1	CA1_svz_30	svz	30	BA13_CA1_svz_30_1	P25	Subventricular zone	15	Male	svz_Male
208	BA13	CA1_svz_31	32	CA1_svz_31	BulkSeq_svz_31	CA1	CA1_svz_31	svz	31	BA13_CA1_svz_31_1	P25	Subventricular zone	18	Male	svz_Male
209	BA14	CA1_svz_32	1	CA1_svz_32	BulkSeq_svz_32	CA1	CA1_svz_32	svz	32	BA14_CA1_svz_32_1	P25	Subventricular zone	21	Male	svz_Male
210	BA14	CA1_svz_33	2	CA1_svz_33	BulkSeq_svz_33	CA1	CA1_svz_33	svz	33	BA14_CA1_svz_33_1	P25	Subventricular zone	3	Male	svz_Male
211	BA14	CA1_svz_34	3	CA1_svz_34	BulkSeq_svz_34	CA1	CA1_svz_34	svz	34	BA14_CA1_svz_34_1	P25	Subventricular zone	15	Male	svz_Male
212	BA14	CA1_svz_35	4	CA1_svz_35	BulkSeq_svz_35	CA1	CA1_svz_35	svz	35	BA14_CA1_svz_35_1	P25	Subventricular zone	18	Male	svz_Male
213	BA14	CA1_svz_36	13	CA1_svz_36	BulkSeq_svz_36	CA1	CA1_svz_36	svz	36	BA14_CA1_svz_36_1	P25	Subventricular zone	21	Male	svz_Male
214	BA14	CA1_svz_37	14	CA1_svz_37	BulkSeq_svz_37	CA1	CA1_svz_37	svz	37	BA14_CA1_svz_37_1	P25	Subventricular zone	3	Female	svz_Female
215	BA14	CA1_svz_38	15	CA1_svz_38	BulkSeq_svz_38	CA1	CA1_svz_38	svz	38	BA14_CA1_svz_38_1	P25	Subventricular zone	15	Female	svz_Female
216	BA14	CA1_svz_39	16	CA1_svz_39	BulkSeq_svz_39	CA1	CA1_svz_39	svz	39	BA14_CA1_svz_39_1	P25	Subventricular zone	18	Female	svz_Female
217	BA14	CA1_svz_40	25	CA1_svz_40	BulkSeq_svz_40	CA1	CA1_svz_40	svz	40	BA14_CA1_svz_40_1	P25	Subventricular zone	21	Female	svz_Female
218	BA14	CA1_svz_41	26	CA1_svz_41	BulkSeq_svz_41	CA1	CA1_svz_41	svz	41	BA14_CA1_svz_41_1	P25	Subventricular zone	3	Female	svz_Female
219	BA14	CA1_svz_42	27	CA1_svz_42	BulkSeq_svz_42	CA1	CA1_svz_42	svz	42	BA14_CA1_svz_42_1	P25	Subventricular zone	15	Female	svz_Female
220	BA14	CA1_svz_43	28	CA1_svz_43	BulkSeq_svz_43	CA1	CA1_svz_43	svz	43	BA14_CA1_svz_43_1	P25	Subventricular zone	18	Female	svz_Female
221	BA14	CA1_svz_44	29	CA1_svz_44	BulkSeq_svz_44	CA1	CA1_svz_44	svz	44	BA14_CA1_svz_44_1	P25	Subventricular zone	21	Female	svz_Female
222	BA14	CA1_svz_45	30	CA1_svz_45	BulkSeq_svz_45	CA1	CA1_svz_45	svz	45	BA14_CA1_svz_45_1	P25	Subventricular zone	3	Female	svz_Female
223	BA14	CA1_svz_46	31	CA1_svz_46	BulkSeq_svz_46	CA1	CA1_svz_46	svz	46	BA14_CA1_svz_46_1	P25	Subventricular zone	15	Female	svz_Female
224	BA14	CA1_svz_47	32	CA1_svz_47	BulkSeq_svz_47	CA1	CA1_svz_47	svz	47	BA14_CA1_svz_47_1	P25	Subventricular zone	18	Female	svz_Female
225	BA15	CA1_svz_48	1	CA1_svz_48	BulkSeq_svz_48	CA1	CA1_svz_48	svz	48	BA15_CA1_svz_48_1	P25	Subventricular zone	21	Female	svz_Female
226	BA15	CA1_svz_49	2	CA1_svz_49	BulkSeq_svz_49	CA1	CA1_svz_49	svz	49	BA15_CA1_svz_49_1	P25	Subventricular zone	3	Female	svz_Female
227	BA15	CA1_svz_50	3	CA1_svz_50	BulkSeq_svz_50	CA1	CA1_svz_50	svz	50	BA15_CA1_svz_50_1	P25	Subventricular zone	15	Female	svz_Female
228	BA15	CA1_svz_51	4	CA1_svz_51	BulkSeq_svz_51	CA1	CA1_svz_51	svz	51	BA15_CA1_svz_51_1	P25	Subventricular zone	18	Female	svz_Female
229	BA15	CA1_svz_52	13	CA1_svz_52	BulkSeq_svz_52	CA1	CA1_svz_52	svz	52	BA15_CA1_svz_52_1	P25	Subventricular zone	21	Female	svz_Female
230	BA15	CA1_svz_53	14	CA1_svz_53	BulkSeq_svz_53	CA1	CA1_svz_53	svz	53	BA15_CA1_svz_53_1	P25	Subventricular zone	3	Female	svz_Female
231	BA15	CA1_svz_54	15	CA1_svz_54	BulkSeq_svz_54	CA1	CA1_svz_54	svz	54	BA15_CA1_svz_54_1	P25	Subventricular zone	15	Female	svz_Female
232	BA15	CA1_svz_55	16	CA1_svz_55	BulkSeq_svz_55	CA1	CA1_svz_55	svz	55	BA15_CA1_svz_55_1	P25	Subventricular zone	18	Female	svz_Female
233	BA15	CA1_svz_56	25	CA1_svz_56	BulkSeq_svz_56	CA1	CA1_svz_56	svz	56	BA15_CA1_svz_56_1	P25	Subventricular zone	21	Female	svz_Female
234	BA15	CA1_svz_57	26	CA1_svz_57	BulkSeq_svz_57	CA1	CA1_svz_57	svz	57	BA15_CA1_svz_57_1	P25	Subventricular zone	28	Male	svz_Male
235	BA15	CA1_svz_58	27	CA1_svz_58	BulkSeq_svz_58	CA1	CA1_svz_58	svz	58	BA15_CA1_svz_58_1	P25	Subventricular zone	28	Male	svz_Male
236	BA15	CA1_svz_59	28	CA1_svz_59	BulkSeq_svz_59	CA1	CA1_svz_59	svz	59	BA15_CA1_svz_59_1	P25	Subventricular zone	28	Male	svz_Male
237	BA15	CA1_cc_3	31	CA1_cc_3	BulkSeq_cc_3	CA1	CA1_cc_3	cc	3	BA15_CA1_cc_3_1	P25	Corpus callosum	12	Male	cc_Male
238	BA15	CA1_cc_4	32	CA1_cc_4	BulkSeq_cc_4	CA1	CA1_cc_4	cc	4	BA15_CA1_cc_4_1	P25	Corpus callosum	12	Female	cc_Female
239	BA16	CA1_cc_5	1	CA1_cc_5	BulkSeq_cc_5	CA1	CA1_cc_5	cc	5	BA16_CA1_cc_5_1	P25	Corpus callosum	26	Male	cc_Male
240	BA16	CA1_cc_6	2	CA1_cc_6	BulkSeq_cc_6	CA1	CA1_cc_6	cc	6	BA16_CA1_cc_6_1	P25	Corpus callosum	12	Male	cc_Male
241	BA16	CA1_cc_7	3	CA1_cc_7	BulkSeq_cc_7	CA1	CA1_cc_7	cc	7	BA16_CA1_cc_7_1	P25	Corpus callosum	12	Female	cc_Female
242	BA16	CA1_cc_8	4	CA1_cc_8	BulkSeq_cc_8	CA1	CA1_cc_8	cc	8	BA16_CA1_cc_8_1	P25	Corpus callosum	26	Male	cc_Male
243	BA16	CA1_cc_9	13	CA1_cc_9	BulkSeq_cc_9	CA1	CA1_cc_9	cc	9	BA16_CA1_cc_9_1	P25	Corpus callosum	12	Male	cc_Male
244	BA16	CA1_cc_10	14	CA1_cc_10	BulkSeq_cc_10	CA1	CA1_cc_10	cc	10	BA16_CA1_cc_10_1	P25	Corpus callosum	12	Female	cc_Female
245	BA16	CA1_cc_11	15	CA1_cc_11	BulkSeq_cc_11	CA1	CA1_cc_11	cc	11	BA16_CA1_cc_11_1	P25	Corpus callosum	26	Male	cc_Male
246	BA16	CA1_cc_12	16	CA1_cc_12	BulkSeq_cc_12	CA1	CA1_cc_12	cc	12	BA16_CA1_cc_12_1	P25	Corpus callosum	12	Male	cc_Male
247	BA16	CA1_cc_13	25	CA1_cc_13	BulkSeq_cc_13	CA1	CA1_cc_13	cc	13	BA16_CA1_cc_13_1	P25	Corpus callosum	12	Female	cc_Female
248	BA16	CA1_cc_14	26	CA1_cc_14	BulkSeq_cc_14	CA1	CA1_cc_14	cc	14	BA16_CA1_cc_14_1	P25	Corpus callosum	26	Male	cc_Male
249	BA16	CA1_cc_15	27	CA1_cc_15	BulkSeq_cc_15	CA1	CA1_cc_15	cc	15	BA16_CA1_cc_15_1	P25	Corpus callosum	12	Male	cc_Male
250	BA16	CA1_cc_16	28	CA1_cc_16	BulkSeq_cc_16	CA1	CA1_cc_16	cc	16	BA16_CA1_cc_16_1	P25	Corpus callosum	21	Male	cc_Male
251	BA16	CA1_cc_17	29	CA1_cc_17	BulkSeq_cc_17	CA1	CA1_cc_17	cc	17	BA16_CA1_cc_17_1	P25	Corpus callosum	3	Male	cc_Male
252	BA16	CA1_cc_18	30	CA1_cc_18	BulkSeq_cc_18	CA1	CA1_cc_18	cc	18	BA16_CA1_cc_18_1	P25	Corpus callosum	15	Male	cc_Male
253	BA16	CA1_cc_19	31	CA1_cc_19	BulkSeq_cc_19	CA1	CA1_cc_19	cc	19	BA16_CA1_cc_19_1	P25	Corpus callosum	18	Male	cc_Male
254	BA16	CA1_cc_20	32	CA1_cc_20	BulkSeq_cc_20	CA1	CA1_cc_20	cc	20	BA16_CA1_cc_20_1	P25	Corpus callosum	21	Male	cc_Male
255	BA17	CA1_cc_21	1	CA1_cc_21	BulkSeq_cc_21	CA1	CA1_cc_21	cc	21	BA17_CA1_cc_21_1	P25	Corpus callosum	3	Male	cc_Male
256	BA17	CA1_cc_22	2	CA1_cc_22	BulkSeq_cc_22	CA1	CA1_cc_22	cc	22	BA17_CA1_cc_22_1	P25	Corpus callosum	15	Male	cc_Male
257	BA17	CA1_cc_23	3	CA1_cc_23	BulkSeq_cc_23	CA1	CA1_cc_23	cc	23	BA17_CA1_cc_23_1	P25	Corpus callosum	18	Male	cc_Male
258	BA17	CA1_cc_24	4	CA1_cc_24	BulkSeq_cc_24	CA1	CA1_cc_24	cc	24	BA17_CA1_cc_24_1	P25	Corpus callosum	21	Male	cc_Male
259	BA17	CA1_cc_25	13	CA1_cc_25	BulkSeq_cc_25	CA1	CA1_cc_25	cc	25	BA17_CA1_cc_25_1	P25	Corpus callosum	3	Male	cc_Male
260	BA17	CA1_cc_26	14	CA1_cc_26	BulkSeq_cc_26	CA1	CA1_cc_26	cc	26	BA17_CA1_cc_26_1	P25	Corpus callosum	15	Male	cc_Male
261	BA17	CA1_cc_27	15	CA1_cc_27	BulkSeq_cc_27	CA1	CA1_cc_27	cc	27	BA17_CA1_cc_27_1	P25	Corpus callosum	18	Male	cc_Male
262	BA17	CA1_cc_28	16	CA1_cc_28	BulkSeq_cc_28	CA1	CA1_cc_28	cc	28	BA17_CA1_cc_28_1	P25	Corpus callosum	21	Male	cc_Male
263	BA17	CA1_cc_29	25	CA1_cc_29	BulkSeq_cc_29	CA1	CA1_cc_29	cc	29	BA17_CA1_cc_29_1	P25	Corpus callosum	3	Male	cc_Male
264	BA17	CA1_cc_30	26	CA1_cc_30	BulkSeq_cc_30	CA1	CA1_cc_30	cc	30	BA17_CA1_cc_30_1	P25	Corpus callosum	15	Male	cc_Male
265	BA17	CA1_cc_31	27	CA1_cc_31	BulkSeq_cc_31	CA1	CA1_cc_31	cc	31	BA17_CA1_cc_31_1	P25	Corpus callosum	18	Male	cc_Male
266	BA17	CA1_cc_32	28	CA1_cc_32	BulkSeq_cc_32	CA1	CA1_cc_32	cc	32	BA17_CA1_cc_32_1	P25	Corpus callosum	21	Male	cc_Male
267	BA17	CA1_cc_33	29	CA1_cc_33	BulkSeq_cc_33	CA1	CA1_cc_33	cc	33	BA17_CA1_cc_33_1	P25	Corpus callosum	3	Male	cc_Male
268	BA17	CA1_cc_34	30	CA1_cc_34	BulkSeq_cc_34	CA1	CA1_cc_34	cc	34	BA17_CA1_cc_34_1	P25	Corpus callosum	15	Male	cc_Male
269	BA17	CA1_cc_35	31	CA1_cc_35	BulkSeq_cc_35	CA1	CA1_cc_35	cc	35	BA17_CA1_cc_35_1	P25	Corpus callosum	18	Male	cc_Male
270	BA17	CA1_cc_36	32	CA1_cc_36	BulkSeq_cc_36	CA1	CA1_cc_36	cc	36	BA17_CA1_cc_36_1	P25	Corpus callosum	21	Male	cc_Male
271	BA18	CA1_cc_37	1	CA1_cc_37	BulkSeq_cc_37	CA1	CA1_cc_37	cc	37	BA18_CA1_cc_37_1	P25	Corpus callosum	3	Female	cc_Female
272	BA18	CA1_cc_38	2	CA1_cc_38	BulkSeq_cc_38	CA1	CA1_cc_38	cc	38	BA18_CA1_cc_38_1	P25	Corpus callosum	15	Female	cc_Female
273	BA18	CA1_cc_39	3	CA1_cc_39	BulkSeq_cc_39	CA1	CA1_cc_39	cc	39	BA18_CA1_cc_39_1	P25	Corpus callosum	18	Female	cc_Female
274	BA18	CA1_cc_40	4	CA1_cc_40	BulkSeq_cc_40	CA1	CA1_cc_40	cc	40	BA18_CA1_cc_40_1	P25	Corpus callosum	21	Female	cc_Female
275	BA18	CA1_cc_41	13	CA1_cc_41	BulkSeq_cc_41	CA1	CA1_cc_41	cc	41	BA18_CA1_cc_41_1	P25	Corpus callosum	3	Female	cc_Female
276	BA18	CA1_cc_42	14	CA1_cc_42	BulkSeq_cc_42	CA1	CA1_cc_42	cc	42	BA18_CA1_cc_42_1	P25	Corpus callosum	15	Female	cc_Female
277	BA18	CA1_cc_43	15	CA1_cc_43	BulkSeq_cc_43	CA1	CA1_cc_43	cc	43	BA18_CA1_cc_43_1	P25	Corpus callosum	18	Female	cc_Female
278	BA18	CA1_cc_44	16	CA1_cc_44	BulkSeq_cc_44	CA1	CA1_cc_44	cc	44	BA18_CA1_cc_44_1	P25	Corpus callosum	21	Female	cc_Female
279	BA18	CA1_cc_45	25	CA1_cc_45	BulkSeq_cc_45	CA1	CA1_cc_45	cc	45	BA18_CA1_cc_45_1	P25	Corpus callosum	3	Female	cc_Female
280	BA18	CA1_cc_46	26	CA1_cc_46	BulkSeq_cc_46	CA1	CA1_cc_46	cc	46	BA18_CA1_cc_46_1	P25	Corpus callosum	15	Female	cc_Female
281	BA18	CA1_cc_47	27	CA1_cc_47	BulkSeq_cc_47	CA1	CA1_cc_47	cc	47	BA18_CA1_cc_47_1	P25	Corpus callosum	18	Female	cc_Female
282	BA18	CA1_cc_48	28	CA1_cc_48	BulkSeq_cc_48	CA1	CA1_cc_48	cc	48	BA18_CA1_cc_48_1	P25	Corpus callosum	21	Female	cc_Female
283	BA18	CA1_cc_49	29	CA1_cc_49	BulkSeq_cc_49	CA1	CA1_cc_49	cc	49	BA18_CA1_cc_49_1	P25	Corpus callosum	3	Female	cc_Female
284	BA18	CA1_cc_50	30	CA1_cc_50	BulkSeq_cc_50	CA1	CA1_cc_50	cc	50	BA18_CA1_cc_50_1	P25	Corpus callosum	15	Female	cc_Female
285	BA18	CA1_cc_51	31	CA1_cc_51	BulkSeq_cc_51	CA1	CA1_cc_51	cc	51	BA18_CA1_cc_51_1	P25	Corpus callosum	18	Female	cc_Female
286	BA18	CA1_cc_52	32	CA1_cc_52	BulkSeq_cc_52	CA1	CA1_cc_52	cc	52	BA18_CA1_cc_52_1	P25	Corpus callosum	21	Female	cc_Female
287	BA19	CA1_cc_53	1	CA1_cc_53	BulkSeq_cc_53	CA1	CA1_cc_53	cc	53	BA19_CA1_cc_53_1	P26	Corpus callosum	3	Female	cc_Female
288	BA19	CA1_cc_54	2	CA1_cc_54	BulkSeq_cc_54	CA1	CA1_cc_54	cc	54	BA19_CA1_cc_54_1	P26	Corpus callosum	15	Female	cc_Female
289	BA19	CA1_cc_55	3	CA1_cc_55	BulkSeq_cc_55	CA1	CA1_cc_55	cc	55	BA19_CA1_cc_55_1	P26	Corpus callosum	18	Female	cc_Female
290	BA19	CA1_cc_56	4	CA1_cc_56	BulkSeq_cc_56	CA1	CA1_cc_56	cc	56	BA19_CA1_cc_56_1	P26	Corpus callosum	21	Female	cc_Female
291	BA19	CA1_cc_57	13	CA1_cc_57	BulkSeq_cc_57	CA1	CA1_cc_57	cc	57	BA19_CA1_cc_57_1	P26	Corpus callosum	28	Male	cc_Male
292	BA19	CA1_cc_58	14	CA1_cc_58	BulkSeq_cc_58	CA1	CA1_cc_58	cc	58	BA19_CA1_cc_58_1	P26	Corpus callosum	28	Male	cc_Male
293	BA19	CA1_cc_59	15	CA1_cc_59	BulkSeq_cc_59	CA1	CA1_cc_59	cc	59	BA19_CA1_cc_59_1	P26	Corpus callosum	28	Male	cc_Male
294	BA19	CA1_th_1	16	CA1_th_1	BulkSeq_th_1	CA1	CA1_th_1	th	1	BA19_CA1_th_1_1	P26	Thalamus	12	Female	th_Female
295	BA19	CA1_hi_2	25	CA1_hi_2	BulkSeq_hi_2	CA1	CA1_hi_2	hi	2	BA19_CA1_hi_2_1	P26	Hippocampus (anterior)	26	Male	hi_Male
296	BA19	CA1_th_3	26	CA1_th_3	BulkSeq_th_3	CA1	CA1_th_3	th	3	BA19_CA1_th_3_1	P26	Thalamus	12	Male	th_Male
297	BA19	CA1_th_4	27	CA1_th_4	BulkSeq_th_4	CA1	CA1_th_4	th	4	BA19_CA1_th_4_1	P26	Thalamus	12	Female	th_Female
298	BA19	CA1_th_5	28	CA1_th_5	BulkSeq_th_5	CA1	CA1_th_5	th	5	BA19_CA1_th_5_1	P26	Thalamus	26	Male	th_Male
299	BA19	CA1_th_6	29	CA1_th_6	BulkSeq_th_6	CA1	CA1_th_6	th	6	BA19_CA1_th_6_1	P26	Thalamus	12	Male	th_Male
300	BA19	CA1_th_7	30	CA1_th_7	BulkSeq_th_7	CA1	CA1_th_7	th	7	BA19_CA1_th_7_1	P26	Thalamus	12	Female	th_Female
301	BA19	CA1_th_8	31	CA1_th_8	BulkSeq_th_8	CA1	CA1_th_8	th	8	BA19_CA1_th_8_1	P26	Thalamus	26	Male	th_Male
302	BA19	CA1_th_9	32	CA1_th_9	BulkSeq_th_9	CA1	CA1_th_9	th	9	BA19_CA1_th_9_1	P26	Thalamus	12	Male	th_Male
